id,app,category,one_liner,primary_auth,auth_methods,access,access_note,api_surface,api_breadth,has_mcp,verdict,blocker,build_score,effort,lane,in_composio,composio_slug,browser_access,reachability,probe_url,evidence
54,MrScraper,"Data, SEO and Scraping",Web scraping API to programmatically scrape pages and retrieve structured data.,API_KEY,API_KEY,self_serve_free,Developers can generate an API token directly via the API Token Generation guide without contacting sales.,rest,moderate,False,build_now,,80.2,S,build_now,True,mrscraper,,live_and_gated,https://api.app.mrscraper.com/api/v1/results?filters[scraperId]=<SCRAPER_ID>&page=1&pageSize=10&sort=createdAt&sortOrder=DESC,https://docs.mrscraper.com/docs/api/authentication https://docs.mrscraper.com/docs/api/overview
55,Apify,"Data, SEO and Scraping","Cloud platform for web scraping, data extraction, and browser automation with APIs to run scrapers and fetch results.",BEARER_TOKEN,BEARER_TOKEN|API_KEY,self_serve_free,Free plan available with no credit card required; users can self-issue an API token from the Apify Console.,rest,broad,True,build_now,,100.0,L,build_now,True,apify,,live_and_gated,https://api.apify.com/v2/users/me,https://docs.apify.com/api/v2 https://apify.com/pricing https://mcp.apify.com/
56,Firecrawl,"Data, SEO and Scraping","API to search, scrape, crawl, map, and interact with live web data for AI agents.",API_KEY,API_KEY|BEARER_TOKEN,self_serve_free,"Free plan available with 1,000 credits/month, no card required. Developers can self-issue an API key to start building.",rest,narrow,True,build_now,,82.3,S,build_now,True,firecrawl,,not_probeable,,https://www.firecrawl.dev/pricing https://www.firecrawl.dev/
57,Bright Data,"Data, SEO and Scraping","Platform for web data scraping, proxy networks, and structured dataset extraction via API and MCP.",BEARER_TOKEN,BEARER_TOKEN|BASIC,self_serve_free,"Developers can sign up for a free account and self-issue an API token. New accounts include a free tier of 5,000 requests per month.",rest,broad,True,build_now,,99.4,L,build_now,True,brightdata,no_gate_found,live_and_gated,https://api.brightdata.com/dca/dataset?id=<snapshot_id>,https://docs.brightdata.com/api-reference/authentication https://docs.brightdata.com/datasets/scraper-studio/quickstart https://docs.brightdata.com/ai/mcp-server/overview https://github.com/brightdata/brightdata-mcp
58,Sherlock,"Data, SEO and Scraping",Hunt down social media accounts by username across social networks using the open-source Sherlock project.,API_KEY,API_KEY,self_serve_free,Requires an Apify account; users can self-issue an API token in the Apify Console. Offers a free trial and pay-per-usage pricing.,rest,narrow,False,build_now,,70.7,S,build_now,False,,partner_gated,live_and_gated,https://api.apify.com/v2/actors/misceres~sherlock?token=<YOUR_API_TOKEN>,https://apify.com/misceres/sherlock/api https://docs.sherlock.cloudferro.com/authentication/
59,Waterfall.io,"Data, SEO and Scraping","API for finding, enriching, and verifying B2B contact and company data.",API_KEY,API_KEY,approval_required,Pricing is usage-based and the site directs users to 'Book a Call' rather than offering self-serve signup.,rest,moderate,False,build_with_caveats,No self-serve signup or pricing page found; developers must contact sales to get API access.,51.7,S,needs_outreach,False,,,path_not_found,https://api.waterfall.io/v1/account-reporter-v2,https://docs.waterfall.io/v1/introduction https://www.waterfall.io/
60,Clay,"Data, SEO and Scraping","Workflow platform for data enrichment and scraping, exposing access via webhooks and an MCP server rather than a conventional REST API.",API_KEY,API_KEY|BEARER_TOKEN|JWT|NO_AUTH,plan_gated,"Inbound webhooks are free, but HTTP API integrations require Growth ($495/mo) and Enterprise APIs require custom sales contact.",none,none,True,not_buildable,"No conventional REST API, OpenAPI spec, or official SDKs. Programmatic access is limited to inbound webhooks, an enterprise-only lookup API, and MCP.",53.1,M,park,False,,no_gate_found,not_probeable,,https://pipeline.zoominfo.com/sales/clay-api https://www.clay.com/guides/clay-mcp
61,GitHub,"Developer, Infra and Data platforms","Hosted Git repository management, issue tracking, and CI/CD platform for software development.",OAUTH2,OAUTH2|BEARER_TOKEN|BASIC,self_serve_free,Developers can sign up for a free account and self-issue a Personal Access Token or OAuth app credential.,rest+graphql,broad,True,build_now,,93.4,L,build_now,True,github,,not_probeable,,https://github.com/pricing https://www.emergentsoftware.net/resources/insights/github-pricing-simply-explained/
62,Vercel,"Developer, Infra and Data platforms","Cloud platform for frontend developers to build, deploy, and scale web applications and infrastructure.",BEARER_TOKEN,BEARER_TOKEN|API_KEY,self_serve_free,Developers can create and manage Access Tokens directly in their account settings without a paid plan.,rest,broad,False,build_now,,88.9,L,build_now,True,vercel,,live_and_gated,https://api.vercel.com/v6/deployments,https://vercel.com/docs/rest-api https://vercel.com/docs/ai-gateway/authentication-and-byok
63,Netlify,"Developer, Infra and Data platforms",,BEARER_TOKEN,UNKNOWN,self_serve_free,,rest,unknown,False,build_now,,71.0,M,build_now,False,,no_gate_found,live_and_gated,https://api.netlify.com/api/v1/sites,https://docs.netlify.com/api-and-cli-guides/api-guides/get-started-with-api/ https://docs.netlify.com/api-and-cli-guides/cli-guides/get-started-with-cli/
64,Cloudflare,"Developer, Infra and Data platforms","Global network providing CDN, DNS, security, edge compute, and developer services.",BEARER_TOKEN,BEARER_TOKEN|OAUTH2,self_serve_free,"Users can sign up for a free plan and self-issue API tokens via the dashboard, or authorize via OAuth for MCP integrations.",rest+graphql,broad,True,build_now,,98.6,L,build_now,True,cloudflare,,live_and_gated,https://api.cloudflare.com/client/v4/user,https://developers.cloudflare.com/agents/model-context-protocol/cloudflare/servers-for-cloudflare/ https://www.cloudflare.com/plans/ https://developers.cloudflare.com/workers/platform/pricing/
65,Supabase,"Developer, Infra and Data platforms","Open-source backend platform providing Postgres databases, authentication, storage, and edge functions.",OAUTH2,OAUTH2|BEARER_TOKEN|API_KEY,self_serve_free,Developers can sign up for a Free plan and self-issue personal access tokens or use dynamic OAuth client registration.,rest,broad,True,build_now,,93.7,L,build_now,True,supabase,,live_and_gated,https://mcp.supabase.com/mcp?features=docs%2Caccount%2Cdatabase%2Cdebugging%2Cdevelopment%2Cfunctions%2Cbranching,https://supabase.com/docs/guides/ai-tools/mcp https://supabase.com/pricing
66,Neo4j,"Developer, Infra and Data platforms",Graph database platform for managing connected data via Cypher query language.,S2S_OAUTH2,S2S_OAUTH2|BASIC|BEARER_TOKEN,self_serve_free,All tiers can create Aura API credentials via the console. Free tier and free developer cloud available.,rest,broad,True,build_now,,92.6,L,build_now,True,neo4j,,live_and_gated,,https://neo4j.com/docs/aura/api/authentication/ https://neo4j.com/docs/http-api/current/authentication-authorization/ https://neo4j.com/developer/genai-ecosystem/model-context-protocol-mcp/ https://neo4j.com/pricing/
67,Snowflake,"Developer, Infra and Data platforms","Cloud data platform providing data warehousing, SQL execution, and AI data services.",BEARER_TOKEN,OAUTH2|S2S_OAUTH2|BEARER_TOKEN|BASIC|JWT,self_serve_free,Developers can sign up for a free trial account and self-issue Programmatic Access Tokens (PATs) or key pairs for API access.,rest,broad,True,build_now,,98.6,L,build_now,True,snowflake,,not_probeable,,https://docs.snowflake.com/en/developer-guide/snowflake-rest-api/authentication https://www.snowflake.com/en/developers/guides/getting-started-with-snowflake-mcp-server/ https://docs.snowflake.com/en/user-guide/api-authentication
68,MongoDB Atlas,"Developer, Infra and Data platforms","Managed MongoDB database service with a REST API for cluster, project, and user administration.",S2S_OAUTH2,S2S_OAUTH2|API_KEY,self_serve_free,Developers can create a free Atlas account and self-issue service account credentials or API keys.,rest,broad,True,build_now,,92.8,L,build_now,False,,,live_and_gated,https://cloud.mongodb.com/api/atlas/v2/federationSettings,https://www.mongodb.com/docs/atlas/api/api-authentication/ https://www.mongodb.com/docs/atlas/configure-api-access/ https://github.com/mongodb-js/mongodb-mcp-server https://www.mongodb.com/company/blog/announcing-mongodb-mcp-server
69,Datadog,"Developer, Infra and Data platforms","Cloud monitoring and security platform for infrastructure, applications, logs, and metrics.",API_KEY,API_KEY|BEARER_TOKEN,self_serve_free,Developers can sign up for a free trial and self-issue API and application keys from the UI.,rest,broad,True,build_now,,98.4,L,build_now,True,datadog,,live_and_gated,https://api.datadoghq.com/api/v1/validate,https://docs.datadoghq.com/api/latest/ https://www.datadoghq.com/product/ai/mcp-server/ https://www.datadoghq.com/pricing/
70,Sentry,"Developer, Infra and Data platforms",Application monitoring and error tracking platform that helps developers fix bugs in real-time.,BEARER_TOKEN,OAUTH2|API_KEY|BEARER_TOKEN,self_serve_paid,"API access is listed as a feature of the Team plan ($26/mo) and above, though developers can self-issue tokens on the free Developer plan for MCP access.",rest,broad,True,build_now,"Pricing page explicitly lists API & third-party integrations as a paid feature starting at the Team plan ($26/mo), potentially restricting standard API access for free tier developers.",90.1,L,build_now,True,sentry,no_gate_found,path_not_found,,https://sentry.io/pricing/ https://mcp.sentry.dev/ https://blog.sentry.io/yes-sentry-has-an-mcp-server-and-its-pretty-good/
71,Notion,Productivity and Project Management,"Workspace for notes, docs, databases, and project management.",OAUTH2,OAUTH2|BEARER_TOKEN,self_serve_free,"Developers can create connections and issue tokens directly in the Developer portal. Public Marketplace listings require a security review, but standard API access is self-serve.",rest,broad,False,build_now,,83.9,L,build_now,True,notion,,live_and_gated,https://api.notion.com/v1/users,https://developers.notion.com/reference/authentication https://developers.notion.com/guides/get-started/overview https://developers.notion.com/guides/get-started/authorization
72,Airtable,Productivity and Project Management,Cloud platform for building collaborative relational databases and applications.,OAUTH2,OAUTH2|BEARER_TOKEN,self_serve_free,Available on all plan types with varying call limitations. Developers can sign up for a free account and self-issue a Personal Access Token or configure OAuth.,rest,broad,True,build_now,,94.7,L,build_now,True,airtable,,live_and_gated,https://api.airtable.com/v0/meta/bases,https://support.airtable.com/articles/6292134965-getting-started-with-airtable-s-web-api https://support.airtable.com/articles/9897799762-using-the-airtable-mcp-server https://airtable.com/developers/web/api/introduction
73,Linear,Productivity and Project Management,Issue tracking and project management platform with a GraphQL API.,API_KEY,OAUTH2|API_KEY,self_serve_free,"Developers can generate personal API keys from account settings, though workspace admins may restrict member key creation.",graphql,broad,True,build_now,,98.7,L,build_now,True,linear,,path_not_found,https://api.linear.app/v1/user,https://linear.app/developers https://mindcloud.co/docs/universal/rest/linear/1.0.86/introduction/authentication https://github.com/jerhadf/linear-mcp-server
74,Jira,Productivity and Project Management,"Issue tracking, project management, and agile development tool.",OAUTH2,OAUTH2|API_KEY|BASIC,self_serve_free,REST API access is available on the Free plan. Developers can self-issue tokens via developer.atlassian.com.,rest,broad,True,build_now,,94.3,L,build_now,True,jira,,live_and_gated,https://api.atlassian.com/me,https://developer.atlassian.com/cloud/jira/platform/rest/v2/intro/ https://community.atlassian.com/forums/Jira-questions/Use-REST-API-with-Jira-instance-on-Free-Plan/qaq-p/2955396 https://github.com/atlassian/atlassian-mcp-server https://www.atlassian.com/blog/announcements/remote-mcp-server
75,Asana,Productivity and Project Management,"Project and task management platform for tracking work, projects, and workflows.",OAUTH2,OAUTH2|API_KEY,self_serve_free,Developers can register an app for OAuth credentials or generate a Personal Access Token for free.,rest,broad,True,build_now,,93.1,L,build_now,True,asana,,live_and_gated,https://app.asana.com/api/1.0/users/me,https://developers.asana.com/docs/using-asanas-mcp-server https://help.asana.com/s/article/api?language=en_US https://forum.asana.com/t/which-api-features-are-available-for-each-pricing-tier/104411
76,Monday.com,Productivity and Project Management,"Work management platform offering a GraphQL API to automate workflows and manage boards, items, and updates.",API_KEY,API_KEY|OAUTH2,self_serve_free,"Developers can create a free, no-expiration developer account and self-issue API credentials. Production API call limits vary by paid plan (e.g., 1,000/day on Standard).",graphql,broad,True,build_now,,98.9,L,build_now,True,monday,,live_and_gated,,https://developer.monday.com/api-reference/ https://monday.com/pricing https://monday.com/w/mcp
77,ClickUp,Productivity and Project Management,"Project management and productivity platform for tasks, docs, goals, and time tracking.",OAUTH2,OAUTH2|API_KEY,self_serve_free,Developers can self-issue a personal API token on the Free Forever plan or create an OAuth app for integrations.,rest,broad,True,build_now,,94.2,L,build_now,True,clickup,,http_400,https://api.clickup.com/api/v2/team,https://developer.clickup.com/docs/authentication https://developer.clickup.com/docs/connect-an-ai-assistant-to-clickups-mcp-server https://developer.clickup.com/reference/getaccesstoken
78,Coda,Productivity and Project Management,"REST API for interacting with docs, enabling programmatic management of pages, tables, rows, and permissions.",BEARER_TOKEN,BEARER_TOKEN,self_serve_free,Developers can self-issue an API token to use the API.,rest,broad,True,build_now,,98.9,L,build_now,True,coda,,live_and_gated,https://coda.io/apis/v1/docs,https://coda.io/developers https://coda.io/resources/guides/getting_started_with_coda_mcp https://www.postman.com/codaio/coda-workspace/collection/0vy7uxn/coda-api
79,Smartsheet,Productivity and Project Management,"Cloud platform for managing sheets, workflows, and project automation.",OAUTH2,OAUTH2|API_KEY,plan_gated,"Requires a Business, Enterprise, or Advanced Work Management plan to access the API.",rest,broad,True,build_with_caveats,"API access is restricted to higher-tier paid plans (Business, Enterprise, or Advanced Work Management); developers cannot self-issue credentials on a free or trial plan.",74.4,L,build_now,False,,partner_gated,live_and_gated,https://api.smartsheet.com/2.0/users/me,https://developers.smartsheet.com/api/smartsheet/introduction https://apidog.com/blog/smartsheet-api-guide/
80,Harvest,Productivity and Project Management,"Time tracking, expense management, invoicing, and project profitability platform.",OAUTH2,OAUTH2|BEARER_TOKEN,self_serve_free,Developers can create a free trial account and self-issue OAuth2 credentials via the Harvest developer portal.,rest,broad,False,build_now,,82.8,L,build_now,True,harvest,,not_probeable,,https://harvestapp.com
81,Stripe,Finance and Fintech,Online payment processing platform for internet businesses.,API_KEY,API_KEY|BEARER_TOKEN|OAUTH2,self_serve_free,Developers can create a free account and self-issue API keys to use in sandbox or live mode.,rest,broad,True,build_now,,98.3,L,build_now,True,stripe,,live_and_gated,https://api.stripe.com/v1/customers,https://stripe.com/docs/api
82,Plaid,Finance and Fintech,"Data network that enables applications to connect with users' bank accounts to verify, fetch balances, and process transactions.",API_KEY,API_KEY,self_serve_free,Developers can create an account on the Plaid Dashboard and receive live client_id and secret keys. First 200 API calls are free.,rest,broad,True,build_now,,99.4,L,build_now,False,,,live_open,https://status.plaid.com/api/v2/status.json,https://plaid.com/docs/api/ https://plaid.com/pricing/ https://plaid.com/docs/api/products/auth/
83,Binance,Finance and Fintech,"Cryptocurrency exchange API for spot, margin, futures, and options trading, plus wallet and market data.",API_KEY,API_KEY|NO_AUTH,self_serve_free,Users can create and manage API keys directly from their account dashboard; public market data requires no auth.,rest,broad,True,build_now,,99.2,L,build_now,False,,,live_open,https://api.binance.com/api/v3/ticker/price,https://developers.binance.com/en/docs/ https://docs.binance.us/ https://www.binance.com/en/binance-api
84,Paygent Connect,Finance and Fintech,"Banking-as-a-Service and payment API for account management, onboarding, cards, and payments.",OAUTH2,OAUTH2|BASIC,approval_required,"BaaS and banking APIs require business onboarding, identity verification (IDV), and application approval before credentials are issued.",rest,broad,False,build_with_caveats,Requires business onboarding and identity verification approval to obtain API credentials.,54.9,L,needs_outreach,False,,,not_probeable,,https://docs.connectpay.com/docs/
85,iPayX,Finance and Fintech,Finance and fintech API for payment processing and management.,API_KEY,UNKNOWN,unknown,No evidence available for iPayX access or commercial gate.,rest,unknown,False,unknown,No evidence available for iPayX API.,40.6,M,park,False,,approval_required,not_probeable,,https://docs.x.com/x-api/getting-started/about-x-api https://dodopayments.com/blogs/charge-for-api-access
86,QuickBooks,Finance and Fintech,"Accounting and financial management platform for tracking income, expenses, invoicing, and reporting.",OAUTH2,OAUTH2,self_serve_free,Developers can sign up for the free Builder tier in the Intuit App Partner Program to self-issue OAuth 2.0 credentials and get 500k CorePlus API credits monthly.,rest,broad,True,build_now,,93.6,L,build_now,True,quickbooks,,not_probeable,https://quickbooks.api.intuit.com/v3/company/{companyId}/companyinfo/{companyId},https://help.developer.intuit.com/s/article/platform-service-fees https://github.com/intuit/quickbooks-online-mcp-server https://www.apideck.com/blog/quickbooks-api-pricing-and-the-intuit-app-partner-program
87,Xero,Finance and Fintech,"Cloud accounting software API for managing invoices, contacts, banking, and payroll.",OAUTH2,OAUTH2|S2S_OAUTH2,self_serve_free,"Developers can create an app and self-issue credentials on the free Starter tier, which allows up to 5 connections.",rest,broad,True,build_now,,93.9,L,build_now,True,xero,,live_and_gated,https://api.xero.com/connections,https://developer.xero.com/documentation/guides/oauth2/auth-flow/ https://developer.xero.com/pricing https://github.com/xeroapi/xero-mcp-server
88,Brex,Finance and Fintech,"API for automating Brex payments, transactions, virtual cards, and team management.",BEARER_TOKEN,BEARER_TOKEN|OAUTH2,self_serve_free,Account or card admins can self-issue a user token directly from the Brex dashboard Developer settings.,rest,moderate,False,build_now,,79.5,S,build_now,True,brex,,path_not_found,,https://developer.brex.com/guides/authentication https://www.brex.com/product/api https://developer.brex.com/guides/partner_authentication
89,Ramp,Finance and Fintech,"Corporate cards, bill payments, and spend management platform.",S2S_OAUTH2,S2S_OAUTH2,approval_required,Sandbox access is not self-serve and requires contacting an account manager. Production access requires applying after testing.,rest,broad,True,build_with_caveats,Sandbox access is not self-serve and requires contacting an account manager to provision.,64.7,L,needs_outreach,True,ramp,,path_not_found,https://api.ramp.com/developer/v1/users,https://docs.ramp.com/ https://support.ramp.com/accessing-the-developer-api
90,PitchBook,Finance and Fintech,"Private and public capital markets data, research, and M&A intelligence platform.",OAUTH2,OAUTH2|API_KEY,approval_required,"Requires a PitchBook account and API access. The main site prompts to 'Request a free trial', indicating manual approval or sales contact is needed for credentials.",rest,narrow,True,build_with_caveats,"Access to PitchBook data and credentials requires requesting a free trial or contacting sales, preventing self-service integration.",48.8,M,needs_outreach,False,,no_gate_found,path_not_found,https://premium.mcp.pitchbook.com/mcp,https://mcpservers.org/remote-mcp-servers/pitchbook https://apigene.ai/mcp/official/pitchbook https://pitchbook.com
91,NotebookLM,"AI, Research and Media-native",AI research and note-taking tool for generating insights and summaries from ingested documents.,OAUTH2,OAUTH2|S2S_OAUTH2,plan_gated,Requires setting up Gemini Notebook Enterprise and getting licenses. Access is gated behind Google Cloud Enterprise plans.,rest,narrow,False,build_with_caveats,"API access requires an enterprise Google Cloud project with Gemini Notebook Enterprise licenses provisioned, preventing standard self-serve developer access.",46.7,M,park,True,notebook_lm,no_gate_found,path_not_found,https://discoveryengine.googleapis.com/v1alpha/projects/PROJECT_NUMBER/locations/LOCATION/notebooks,https://docs.cloud.google.com/gemini/enterprise/notebooklm-enterprise/docs/api-notebooks https://docs.cloud.google.com/gemini/enterprise/notebooklm-enterprise/docs/set-up-notebooklm
92,Otter AI,"AI, Research and Media-native","AI meeting assistant providing transcription, action items, and conversation insights.",API_KEY,API_KEY|BEARER_TOKEN,approval_required,Public API is restricted to Enterprise workspaces and requires contacting an Otter account manager to enable access.,rest,moderate,True,build_with_caveats,"API access requires Enterprise plan and manual enablement by an account manager, preventing self-serve integration.",62.0,S,needs_outreach,False,,,live_and_gated,https://api.otter.ai/v1/channels,https://help.otter.ai/hc/en-us/articles/36130822688279-Otter-ai-Public-API https://help.otter.ai/hc/en-us/articles/4412365535895-Does-Otter-offer-an-open-API https://otter.ai/pricing https://help.otter.ai/hc/en-us/articles/35287607569687-Otter-MCP-Server
93,Fathom,"AI, Research and Media-native","AI notetaker that records, transcribes, and summarizes meetings, exposing this data via a REST API.",API_KEY,API_KEY|OAUTH2,self_serve_free,"API access is included on all plan tiers, including the free plan. Developers can generate an API key from the settings area without a paid subscription.",rest,narrow,True,build_now,,82.2,S,build_now,True,fathom,,live_and_gated,https://api.fathom.ai/external/v1/meetings,https://developers.fathom.ai/api-overview https://pipeline.zoominfo.com/sales/fathom-api-review https://www.fathom.ai/pricing
94,Consensus,"AI, Research and Media-native",Search engine API for finding and integrating peer-reviewed scientific papers and citations into applications.,OAUTH2,OAUTH2|API_KEY,approval_required,API is available by application only. Developers must request access to receive a custom quote and credentials.,rest,narrow,True,build_with_caveats,Requires manual approval and a custom quote to receive API access; no self-serve credential issuance.,48.7,M,needs_outreach,True,consensus,no_gate_found,live_and_gated,https://api.consensus.app/v1/quick_search,https://consensus.app/home/api/ https://support.goconsensus.com/mcp-server-security-information https://support.goconsensus.com/consensus-api-documents
95,Reducto,"AI, Research and Media-native","Document parsing and extraction platform for AI teams, converting PDFs and files into structured JSON.",API_KEY,API_KEY|BEARER_TOKEN,self_serve_free,Developers can sign up for a free account and self-issue an API key via Studio.,rest,moderate,True,build_now,,90.4,S,build_now,False,,,live_and_gated,,https://docs.reducto.ai/quickstart https://docs.reducto.ai/mcp-server https://docs.reducto.ai/overview
96,Devin,"AI, Research and Media-native",Autonomous AI software engineer that executes tasks via an API and MCP.,API_KEY,API_KEY|BEARER_TOKEN,self_serve_paid,API access requires a paid Devin tier (Teams or Enterprise). Users can self-issue cog_-prefixed API keys via Settings.,rest,moderate,True,build_now,Full API and MCP access requires a paid Teams or Enterprise plan. DeepWiki MCP is free but limited to public repos.,81.9,S,build_now,True,devin_mcp,,live_and_gated,https://api.devin.ai/v3/organizations/$DEVIN_ORG_ID/sessions,https://docs.devin.ai/api-reference/authentication https://docs.devin.ai/api-reference/overview https://docs.devin.ai/work-with-devin/deepwiki-mcp
97,higgsfield,"AI, Research and Media-native","Unified API for generative media models, enabling text-to-image and image-to-video creation.",BEARER_TOKEN,BEARER_TOKEN|API_KEY,self_serve_paid,"Developers can sign up and generate an API key directly via the dashboard. Subscription activation is required for production use, with paid plans starting at $9/month.",rest,narrow,False,build_now,,64.1,S,quick_win,False,,,unreachable,https://api.higgsfield.ai/v1/me,https://apidog.com/blog/higgsfield-api/ https://cloud.higgsfield.ai/ https://unifuncs.com/s/DIPucSAR
98,Mermaid CLI,"AI, Research and Media-native",Command line tool for the Mermaid library to create diagrams and visualizations using text and code.,NO_AUTH,NO_AUTH,self_serve_free,Open-source CLI tool available via npm. No credentials or paid plans required to use the core library.,sdk_only,narrow,False,build_with_caveats,,71.7,S,build_now,False,,,not_probeable,,https://github.com/mermaid-js/mermaid-cli https://mermaid.ai/open-source/config/mermaidCLI.html https://github.com/peng-shawn/mermaid-mcp-server
99,YouTube Transcript,"AI, Research and Media-native","Hosted REST API for extracting YouTube transcripts, search, channels, and playlists at scale.",BEARER_TOKEN,BEARER_TOKEN,self_serve_free,Sign up to get 100 free credits; paid plans start at $5/mo. No human involvement required to get a token.,rest,moderate,True,build_now,,90.4,S,build_now,False,,no_gate_found,live_and_gated,https://transcriptapi.com/api/v2/youtube/transcript?video_url=dQw4w9WgXcQ&format=json,https://transcriptapi.com/ https://transcriptapi.com/blog/best-youtube-transcript-apis-compared
100,Grain,"AI, Research and Media-native","Meeting recording, transcription, and AI notes platform for sales and customer success teams.",OAUTH2,OAUTH2|BEARER_TOKEN,self_serve_free,"Developers can self-issue Personal or Workspace Access Tokens, or register an OAuth2 client directly from the developer docs without contacting sales.",rest,moderate,True,build_now,,85.4,M,build_now,False,,,live_and_gated,https://api.grain.com/_/public-api/me,https://developers.grain.com/ https://developers.grain.com/mcp
